#;ContextInformation;RelationshipType;RelatedContextInformation;Property;ContextDomain;Unit;DataType;C-Frame (imp not);C-Frame (imp);E-Frame (imp not);E-Frame (imp);Tarpaulin_BG-SK (imp not);Tarpaulin_BG-SK (imp);Tarpaulin_BG-SK_1 (imp not);Tarpaulin_BG-SK_1 (imp);Tarpaulin_BG-SK_2 (imp not);Tarpaulin_BG-SK_2 (imp);U-Frame (imp not);U-Frame (imp)
IEC 61850-7-4;MeteorologicalInformation;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;HorizontalWindSpeed;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;VerticalWindSpeed;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;HorizontalWindDirection;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;VerticalWindDirection;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;WindGustSpeed;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;EnvironmentTemperature;;;;;;;;;;;;;;;;;;
IEC 61850-7-4;RainFall;;SnowFall;;;;;;;;;;;;;;;;
IEC 61850-7-4;RainFall;influencedByRain;VisualRange;;;;;;;;;;;;;;;;
IEC 61850-7-4;SnowFall;influencedBySnow;VisualRange;;;;;;;;;;;;;;;;
DIN ISO 28902-1;MeteorologicalOpticalRange;;;;;;;;;;;;;;;;;;
DIN ISO 28902-1;RunwayVisualRange;;;;;;;;;;;;;;;;;;
DIN ISO 28902-1;VerticalOpticalRange;;;;;;;;;;;;;;;;;;
DIN ISO 28902-1;SlantOpticalRange;;;;;;;;;;;;;;;;;;
DIN ISO 28902-1;SlantVisualRange;;;;;;;;;;;;;;;;;;
DIN ISO 28902-1;Vision;;;;;;;;;;;;;;;;;;
DIN ISO 28902-1;VisualRange;;;;;;;;;;;;;;;;;;
VDI 5100-1;Source;hasSourceGeolocation;Geolocation;;;;;;;;;;;;;;;;
ISO 19762-5;Geolocation;;;;;;;;;;;;;;;;;;
VDI 5100-1;Target;hasTargetGeolocation;Geolocation;;;;;;;;;;;;;;;;
VDA 4500;Small-Load-Carrier;;;hasObjectDimension;;;;;;;;;;;;;;;
VDA 4501;R-KLT_6429;;R-KLT 6415;;;;;;;;;;;;;;;;
VDA 4502;R-KLT_6429;;R-KLT 4329;;;;;;;;;;;;;;;;
VDA 4503;R-KLT_6429;;R-KLT 4315;;;;;;;;;;;;;;;;
VDA 4504;R-KLT_6429;;R-KLT 3215;;;;;;;;;;;;;;;;
VDA 4505;R-KLT_6415;;;;;;;;;;;;;;;;;;
VDA 4506;R-KLT_4329;;;;;;;;;;;;;;;;;;
VDA 4507;R-KLT_4315;;;;;;;;;;;;;;;;;;
VDA 4508;R-KLT_3215;;;;;;;;;;;;;;;;;;
ISA 88;State;;;;;;;;;;;;;;;;;;
ISA 88;Wait;;;;;;;;;;;;;;;;;;
ISA 88;Idle;;;;;;;;;;;;;;;;;;
VDI 5100-1;TransportOrder;;Target;;;;;;;;;;;;;;;;
VDI 5100-1;TransportOrder;;Source;;;;;;;;;;;;;;;;
VDI 5100-1;TransportOrder;;Transport Unit;;;;;;;;;;;;;;;;
VDI 5100-1;TransportUnit;;;hasObjectWeight;;;;;;;;;;;;;;;
;Load-Carrier;;;;;;;;;;;;;;;;;;
;EPAL1;;;;;;;;;;;;;;;;;;
;EPAL2;;;;;;;;;;;;;;;;;;
;EPAL3;;;;;;;;;;;;;;;;;;
;EPAL4;;;;;;;;;;;;;;;;;;
;EPAL5;;;;;;;;;;;;;;;;;;
;EPAL6;;;;;;;;;;;;;;;;;;
;EPAL7;;;;;;;;;;;;;;;;;;
